index,Date, Market_Minus_Risk_Free, Small_Minus_Big, High_Minus_Low, Risk_Free, Market_Rate
0,2010-01-31,-3.36,0.4,0.43,0,-3.36
1,2010-02-28,3.4,1.19,3.23,0,3.4
2,2010-03-31,6.31,1.48,2.21,0.01,6.319999999999999
3,2010-04-30,2,4.87,2.89,0.01,2.01
4,2010-05-31,-7.89,0.09,-2.44,0.01,-7.88
5,2010-06-30,-5.57,-1.82,-4.7,0.01,-5.5600000000000005
6,2010-07-31,6.93,0.22,-0.33,0.01,6.9399999999999995
7,2010-08-31,-4.77,-2.98,-1.93,0.01,-4.76
8,2010-09-30,9.54,3.97,-3.18,0.01,9.549999999999999
9,2010-10-31,3.88,1.19,-2.51,0.01,3.8899999999999997
10,2010-11-30,0.6,3.74,-0.92,0.01,0.61
11,2010-12-31,6.82,0.69,3.76,0.01,6.83
12,2011-01-31,1.99,-2.45,0.75,0.01,2.0
13,2011-02-28,3.49,1.53,1.27,0.01,3.5
14,2011-03-31,0.46,2.56,-1.85,0.01,0.47000000000000003
15,2011-04-30,2.9,-0.33,-2.49,0,2.9
16,2011-05-31,-1.27,-0.67,-2,0,-1.27
17,2011-06-30,-1.75,-0.15,-0.39,0,-1.75
18,2011-07-31,-2.35,-1.27,-0.9,0,-2.35
19,2011-08-31,-5.99,-3.05,-2.36,0.01,-5.98
20,2011-09-30,-7.59,-3.31,-1.72,0,-7.59
21,2011-10-31,11.35,3.28,0.1,0,11.35
22,2011-11-30,-0.28,-0.16,-0.45,0,-0.28
23,2011-12-31,0.74,-0.59,1.63,0,0.74
24,2012-01-31,5.05,2.03,-0.97,0,5.05
25,2012-02-29,4.42,-1.85,0.43,0,4.42
26,2012-03-31,3.11,-0.65,1.14,0,3.11
27,2012-04-30,-0.85,-0.41,-0.78,0,-0.85
28,2012-05-31,-6.19,0.07,-1.06,0.01,-6.180000000000001
29,2012-06-30,3.89,0.67,0.62,0,3.89
30,2012-07-31,0.79,-2.77,-0.02,0,0.79
31,2012-08-31,2.55,0.48,1.3,0.01,2.5599999999999996
32,2012-09-30,2.73,0.51,1.6,0.01,2.7399999999999998
33,2012-10-31,-1.76,-1.16,3.59,0.01,-1.75
34,2012-11-30,0.78,0.64,-0.84,0.01,0.79
35,2012-12-31,1.18,1.5,3.51,0.01,1.19
36,2013-01-31,5.57,0.33,0.96,0,5.57
37,2013-02-28,1.29,-0.28,0.11,0,1.29
38,2013-03-31,4.03,0.81,-0.19,0,4.03
39,2013-04-30,1.55,-2.36,0.45,0,1.55
40,2013-05-31,2.8,1.73,2.63,0,2.8
41,2013-06-30,-1.2,1.33,0.03,0,-1.2
42,2013-07-31,5.65,1.86,0.57,0,5.65
43,2013-08-31,-2.71,0.28,-2.69,0,-2.71
44,2013-09-30,3.77,2.91,-1.22,0,3.77
45,2013-10-31,4.18,-1.56,1.25,0,4.18
46,2013-11-30,3.13,1.29,0.32,0,3.13
47,2013-12-31,2.81,-0.45,-0.02,0,2.81
48,2014-01-31,-3.32,0.9,-2.07,0,-3.32
49,2014-02-28,4.65,0.37,-0.31,0,4.65
50,2014-03-31,0.43,-1.85,4.93,0,0.43
51,2014-04-30,-0.19,-4.2,1.17,0,-0.19
52,2014-05-31,2.06,-1.88,-0.13,0,2.06
53,2014-06-30,2.61,3.08,-0.7,0,2.61
54,2014-07-31,-2.04,-4.29,0.03,0,-2.04
55,2014-08-31,4.24,0.4,-0.45,0,4.24
56,2014-09-30,-1.97,-3.72,-1.34,0,-1.97
57,2014-10-31,2.52,4.2,-1.81,0,2.52
58,2014-11-30,2.55,-2.06,-3.09,0,2.55
59,2014-12-31,-0.06,2.49,2.27,0,-0.06
60,2015-01-31,-3.11,-0.55,-3.58,0,-3.11
61,2015-02-28,6.13,0.61,-1.86,0,6.13
62,2015-03-31,-1.12,3.04,-0.37,0,-1.12
63,2015-04-30,0.59,-3.03,1.82,0,0.59
64,2015-05-31,1.36,0.92,-1.14,0,1.36
65,2015-06-30,-1.53,2.9,-0.79,0,-1.53
66,2015-07-31,1.54,-4.19,-4.13,0,1.54
67,2015-08-31,-6.04,0.33,2.77,0,-6.04
68,2015-09-30,-3.07,-2.63,0.56,0,-3.07
69,2015-10-31,7.75,-1.87,-0.46,0,7.75
70,2015-11-30,0.56,3.59,-0.42,0,0.56
71,2015-12-31,-2.17,-2.82,-2.61,0.01,-2.16
72,2016-01-31,-5.77,-3.43,2.09,0.01,-5.76
73,2016-02-29,-0.07,0.71,-0.57,0.02,-0.05
74,2016-03-31,6.96,0.82,1.19,0.02,6.9799999999999995
75,2016-04-30,0.91,0.74,3.28,0.01,0.92
76,2016-05-31,1.78,-0.18,-1.66,0.01,1.79
77,2016-06-30,-0.05,0.6,-1.48,0.02,-0.030000000000000002
78,2016-07-31,3.95,2.51,-1.27,0.02,3.97
79,2016-08-31,0.49,1.18,3.13,0.02,0.51
80,2016-09-30,0.25,2.13,-1.23,0.02,0.27
81,2016-10-31,-2.02,-4.42,4.12,0.02,-2.0
82,2016-11-30,4.86,5.67,8.19,0.01,4.87
83,2016-12-31,1.81,0.08,3.56,0.03,1.84
84,2017-01-31,1.94,-1.14,-2.76,0.04,1.98
85,2017-02-28,3.57,-2.02,-1.68,0.04,3.61
86,2017-03-31,0.17,1.14,-3.32,0.03,0.2
87,2017-04-30,1.09,0.72,-2.1,0.05,1.1400000000000001
88,2017-05-31,1.06,-2.52,-3.78,0.06,1.12
89,2017-06-30,0.78,2.23,1.48,0.06,0.8400000000000001
90,2017-07-31,1.87,-1.46,-0.24,0.07,1.9400000000000002
91,2017-08-31,0.16,-1.67,-2.09,0.09,0.25
92,2017-09-30,2.51,4.46,3.12,0.09,2.5999999999999996
93,2017-10-31,2.25,-1.93,0.21,0.09,2.34
94,2017-11-30,3.12,-0.58,-0.08,0.08,3.2
95,2017-12-31,1.06,-1.32,0.05,0.09,1.1500000000000001
96,2018-01-31,5.57,-3.15,-1.33,0.12,5.69
97,2018-02-28,-3.65,0.23,-1.07,0.11,-3.54
98,2018-03-31,-2.35,4.05,-0.23,0.11,-2.24
99,2018-04-30,0.28,1.14,0.54,0.14,0.42000000000000004
100,2018-05-31,2.65,5.26,-3.18,0.14,2.79
101,2018-06-30,0.48,1.15,-2.33,0.14,0.62
102,2018-07-31,3.19,-2.23,0.47,0.16,3.35
103,2018-08-31,3.44,1.13,-3.98,0.16,3.6
104,2018-09-30,0.06,-2.28,-1.69,0.15,0.21
105,2018-10-31,-7.68,-4.77,3.44,0.19,-7.489999999999999
106,2018-11-30,1.69,-0.68,0.28,0.18,1.8699999999999999
107,2018-12-31,-9.57,-2.37,-1.85,0.2,-9.370000000000001
108,2019-01-31,8.4,2.89,-0.46,0.21,8.610000000000001
109,2019-02-28,3.4,2.05,-2.67,0.18,3.58
110,2019-03-31,1.1,-3.03,-4.1,0.19,1.29
111,2019-04-30,3.97,-1.74,2.14,0.21,4.180000000000001
112,2019-05-31,-6.94,-1.31,-2.35,0.21,-6.73
113,2019-06-30,6.93,0.27,-0.72,0.18,7.109999999999999
114,2019-07-31,1.19,-1.93,0.47,0.19,1.38
115,2019-08-31,-2.58,-2.37,-4.77,0.16,-2.42
116,2019-09-30,1.43,-0.97,6.74,0.18,1.6099999999999999
117,2019-10-31,2.06,0.29,-1.92,0.16,2.22
118,2019-11-30,3.87,0.79,-2,0.12,3.99
119,2019-12-31,2.77,0.73,1.77,0.14,2.91
120,2020-01-31,-0.11,-3.11,-6.23,0.13,0.020000000000000004
121,2020-02-29,-8.13,1.07,-3.79,0.12,-8.010000000000002
122,2020-03-31,-13.39,-4.86,-13.95,0.13,-13.26
123,2020-04-30,13.65,2.47,-1.26,0,13.65
124,2020-05-31,5.58,2.47,-4.89,0.01,5.59
125,2020-06-30,2.46,2.7,-2.17,0.01,2.4699999999999998
126,2020-07-31,5.77,-2.32,-1.37,0.01,5.779999999999999
127,2020-08-31,7.63,-0.22,-2.96,0.01,7.64
128,2020-09-30,-3.63,0.04,-2.68,0.01,-3.62
129,2020-10-31,-2.1,4.37,4.22,0.01,-2.0900000000000003
130,2020-11-30,12.47,5.81,2.13,0.01,12.48
131,2020-12-31,4.63,4.89,-1.5,0.01,4.64
132,2021-01-31,-0.03,7.34,2.97,0.01,-0.019999999999999997
133,2021-02-28,2.78,2.06,7.17,0,2.78
134,2021-03-31,3.08,-2.37,7.39,0,3.08
135,2021-04-30,4.93,-3.2,-0.95,0,4.93
136,2021-05-31,0.29,-0.25,7.09,0,0.29
137,2021-06-30,2.75,1.7,-7.83,0,2.75
138,2021-07-31,1.27,-3.99,-1.78,0,1.27
139,2021-08-31,2.91,-0.43,-0.15,0,2.91
140,2021-09-30,-4.37,0.72,5.09,0,-4.37
141,2021-10-31,6.65,-2.34,-0.49,0,6.65
142,2021-11-30,-1.55,-1.32,-0.45,0,-1.55
143,2021-12-31,3.1,-1.65,3.26,0.01,3.11
144,2022-01-31,-6.25,-5.93,12.75,0,-6.25
145,2022-02-28,-2.29,2.21,3.08,0,-2.29
146,2022-03-31,3.05,-1.6,-1.8,0.01,3.0599999999999996
147,2022-04-30,-9.46,-1.4,6.17,0.01,-9.450000000000001
148,2022-05-31,-0.34,-1.83,8.39,0.03,-0.31000000000000005
149,2022-06-30,-8.43,2.1,-5.98,0.06,-8.37
150,2022-07-31,9.57,2.8,-4.1,0.08,9.65
151,2022-08-31,-3.77,1.37,0.3,0.19,-3.58
152,2022-09-30,-9.35,-0.79,0.06,0.19,-9.16
153,2022-10-31,7.83,0.09,8.05,0.23,8.06
154,2022-11-30,4.6,-3.4,1.38,0.29,4.89
155,2022-12-31,-6.41,-0.68,1.32,0.33,-6.08
156,2023-01-31,6.65,5.02,-4.05,0.35,7.0
157,2023-02-28,-2.58,1.1,-0.8,0.34,-2.24
